1	41	1	1	8	6	4	1	2	2	2	1	2	5	4	4	3	4	4	4	4	2	4	2	2	5	3	5	1	4	2	4	4	4	4	3	1	2	4	5	4	4	1	1	2	1	1	1	1	1	1	1	5	1	5	5	5	5
2	46	1	1	9	6	1	5	5	1	5	1	1	4	5	5	1	2	5	5	3	3	4	1	1	5	5	4	4	3	2	4	2	4	4	3	5	5	5	4	5	2	4	1	5	1	5	4	4	5	4	4	1	2	7	4	6	6
3	49	2	1	6	5	2	2	4	5	4	2	4	4	4	5	2	2	4	4	2	2	4	4	2	5	4	4	2	4	2	4	2	4	4	3	4	4	4	4	4	2	2	4	4	1	4	4	4	4	4	4	1	4	4	4	4	4
4	32	2	1	10	6	4	2	2	4	2	4	4	4	2	2	1	1	2	2	1	2	2	2	2	5	2	2	1	1	2	2	2	2	1	3	2	2	2	1	1	2	2	2	1	1	2	1	2	2	2	2	6	6	4	4	5	6
5	37	2	1	8	5	1	5	2	4	1	1	4	5	5	4	1	2	4	5	3	1	2	1	3	5	5	5	4	3	3	2	1	4	4	3	5	4	5	4	5	4	1	4	1	1	4	4	4	4	4	4	3	6	6	1	6	3
6	22	1	0	10	6	3	3	2	4	4	3	5	5	4	4	1	1	5	2	3	3	4	2	3	5	5	2	4	4	3	3	4	4	4	3	2	4	2	5	4	3	3	3	4	1	4	4	4	5	4	5	5	6	5	4	7	6
7	48	1	1	9	6	3	3	5	3	3	2	2	2	5	3	2	4	4	5	2	2	4	2	2	5	4	3	2	3	3	3	4	3	3	3	4	4	4	4	4	2	4	2	3	1	4	3	2	4	2	3	3	4	5	5	2	3
8	36	1	0	8	5	4	2	4	4	3	5	1	4	5	2	2	4	5	4	1	1	4	1	1	5	4	5	2	1	3	3	4	5	4	3	1	5	4	4	5	4	2	4	2	1	4	4	4	5	4	4	2	3	4	2	4	2
9	33	2	0	10	6	2	3	4	2	5	1	1	3	5	4	2	4	4	3	2	3	4	1	4	5	4	2	3	5	2	4	1	5	4	3	5	5	4	5	5	1	4	1	5	1	5	5	5	5	5	5	4	7	7	7	4	4
10	60	1	0	8	7	1	5	5	1	5	3	1	3	5	5	2	5	5	5	2	3	3	1	5	5	5	3	5	1	3	5	1	5	3	3	4	4	4	5	5	4	3	1	5	1	4	4	4	4	4	4	4	6	6	3	6	3
11	50	1	0	10	7	4	2	4	5	2	1	5	5	4	5	1	2	5	1	1	2	5	1	3	5	1	3	3	5	3	3	1	3	4	3	5	5	1	5	5	1	4	5	1	1	5	5	5	5	5	5	4	4	1	1	1	1
12	57	1	1	8	6	1	5	5	3	4	1	1	2	5	4	1	2	4	4	1	1	4	1	3	5	2	5	2	5	4	4	4	3	2	3	5	5	4	5	5	2	5	2	5	1	5	5	5	5	5	4	4	6	6	6	4	4
13	41	2	1	12	6	4	1	5	1	2	1	1	5	5	4	4	2	5	1	2	3	4	2	1	5	2	5	2	5	4	1	5	5	1	3	4	5	1	5	4	2	5	2	5	1	5	5	4	5	4	5	6	7	7	6	5	5
14	29	2	1	9	6	4	1	2	2	2	2	2	5	1	3	2	2	5	4	5	3	4	3	1	5	4	5	2	3	2	3	4	1	4	3	4	3	2	5	4	3	2	3	4	1	3	4	4	4	3	3	2	1	7	1	7	4
15	29	1	0	6	7	1	5	5	1	5	1	1	1	5	5	1	3	5	5	3	3	3	1	4	5	5	3	4	5	1	5	1	5	5	3	5	5	5	1	5	5	5	1	1	1	5	5	5	5	5	5	4	6	6	5	4	4
16	54	2	1	9	6	1	4	5	4	4	1	1	1	5	4	4	2	5	3	2	2	2	1	3	5	4	2	5	3	4	4	3	4	2	3	5	4	5	5	4	3	4	1	5	1	3	2	2	5	4	3	3	7	7	7	7	5
17	58	1	1	9	6	3	4	5	4	4	1	2	5	5	4	2	2	5	4	1	1	5	1	4	5	4	3	2	4	4	1	2	3	2	3	4	4	5	5	5	5	2	5	1	1	4	4	4	5	4	4	3	6	6	4	2	2
18	40	1	1	10	6	3	2	2	4	4	3	5	4	4	5	2	5	5	3	1	1	2	4	2	5	5	4	3	5	4	3	2	4	4	3	4	4	4	4	4	3	4	4	3	1	4	3	2	4	4	4	5	4	5	5	4	4
